hotel_name,pca_pc1,pca_pc2,var_ratio_pc1,var_ratio_pc2
AnkAkyaka Apart Hotel,2.2204460492503132e-17,-8.326672684688674e-18,0.14285302031674968,0.12456620760643757
Panamara Otel,1.1102230246251566e-17,-1.0408340855860843e-17,0.17142097854757543,0.13325239759831234
Panamare Apart & Hotel Akyaka,-1.1102230246251566e-17,1.4432899320127036e-16,0.13133290163795922,0.12715739895588507
Kerme Ottoman Gökova,-8.049116928532385e-17,-3.3306690738754695e-17,0.14029558464544062,0.1261070211511467
Erdem Otel,-1.0547118733938987e-16,-1.1102230246251566e-17,0.14397015795143844,0.12883770018383242
Raymar Hotels Muğla,-1.6653345369377347e-17,-4.9960036108132046e-17,0.2308464369078212,0.1867103028353812
Liya Boutique Hotel & Suites / Villa Yonca,6.106226635438361e-17,1.0269562977782698e-16,0.13448330507685125,0.1226068859467383
İskelem Butik Otel,-4.4408920985006264e-17,2.4980018054066023e-17,0.1548906406669662,0.13476227007047495
Nova Aparts Otel,-4.85722573273506e-17,2.8102520310824274e-17,0.15093538920584645,0.1367042928427657
Mosso Boutique Hotel,-4.9343245538895844e-17,1.2335811384723961e-17,0.16673820450519353,0.1400613435162059
Muğla Hotel,-1.1102230246251565e-16,-2.0816681711721685e-17,0.19631541006090006,0.16000950114843157
Mevsim Otel - Akyaka Otel,0.0,-2.2204460492503132e-17,0.23588249264302008,0.20593942807180007
Santo Akyaka Home,-2.6294755846385285e-17,-8.618836638537399e-17,0.10309231982956744,0.0974350382453038
TN&CO Exclusive CIP Suites/Primeclass Rooms,-9.43689570931383e-17,-3.608224830031759e-17,0.1511772593251035,0.1316466817998573
Nehir Butik Otel,5.551115123125783e-18,2.7755575615628915e-18,0.15126710686933773,0.1333002020408132
Summer Otel,9.402201239794295e-17,4.614364446098307e-17,0.23292382598913156,0.18239815961446076
Hotel Azmakhan,-3.3306690738754695e-17,-5.551115123125783e-17,0.14667801465550653,0.1396916772295589
Su Apart Otel Akyaka,3.3306690738754695e-17,-2.8102520310824274e-17,0.1837493916033862,0.13762093517184731
Yücelen Otel Akyaka,-1.0547118733938987e-16,1.3322676295501878e-16,0.13397145478925018,0.12713316240950107
Ala Butik Hotel,-9.992007221626409e-17,1.1102230246251566e-17,0.18198433142615825,0.15326356925364723
Yelken Hotel Akyaka,2.7755575615628914e-17,-2.2204460492503132e-17,0.13115874497803562,0.12786220630104397
Moğla Taşhan otel,-1.1102230246251566e-17,-4.9960036108132046e-17,0.18152203412884746,0.16127903755934536
Koparan Apart,6.661338147750939e-17,-2.4980018054066023e-17,0.13795889079460516,0.12808923447030965
portofino apart,-6.800116025829084e-17,4.163336342344337e-17,0.14601582894945114,0.13007459217620157
Egehan Otel,-6.106226635438361e-17,-2.2204460492503132e-17,0.14920299174545334,0.13024844179864867
Padok Premium Hotel & Stables,5.551115123125783e-17,1.6653345369377347e-17,0.16871288416484265,0.12299003876538352
ÇALCALAR OTEL,6.661338147750939e-17,2.2204460492503132e-17,0.1492346201136361,0.13382892165233357
Meltem Hanım Konağı butik otel ve Restoran,-1.1102230246251566e-17,9.714451465470119e-18,0.14975027332692936,0.1409490110971726
Mercan Apart Akyaka,7.771561172376095e-17,-4.9960036108132046e-17,0.20520796236931224,0.16933668480014635
Nehir Apart Otel,-1.6653345369377347e-17,-3.3306690738754695e-17,0.22713247790616264,0.18466296748181754
Verde Suites Akyaka,-1.3877787807814457e-17,-3.3306690738754695e-17,0.16340520819031673,0.12696777255799888
Petek Hotel,-4.4408920985006264e-17,-2.2204460492503132e-17,0.14257914763847354,0.12740759437866095
Alp Suites Pinehill,-2.2204460492503132e-17,-1.0130785099704553e-16,0.137693192393518,0.13128954677557403
Teras Tepe Apart,4.4408920985006264e-17,1.554312234475219e-16,0.22925876270092393,0.2158226116433264
APART 48,8.881784197001253e-17,-2.4980018054066023e-17,0.23159860259204285,0.18822630835728246
Mevsim Apart,-5.551115123125783e-17,3.700743415417188e-17,0.45622647851846154,0.24747009406809356
Balèze Boutique Hotel,6.661338147750939e-17,3.8857805861880476e-17,0.1449978692597287,0.12557479194290816
Orkide Apart Hotel,1.1102230246251566e-17,5.551115123125783e-18,0.1513095890963425,0.13013023660479167
Ayka Otel,-7.771561172376095e-17,3.8857805861880476e-17,0.15400772046879985,0.13054685235879457
Kerme Ottoman Palace,-4.4408920985006264e-17,2.6367796834847467e-17,0.13921014676953372,0.1267474630296925
Alp Suites Lavanta,-1.6653345369377347e-17,-5.551115123125783e-17,0.1945611327048592,0.17527804930048263
Keramos Pansiyon Akyaka,-6.106226635438361e-17,-1.1102230246251566e-17,0.21043629308370032,0.19274806379137435
Hamle Hotel,-4.9960036108132046e-17,2.2204460492503132e-17,0.1433246366420984,0.1309754077264668
Alp Suites Mandalin,2.7755575615628914e-17,1.1102230246251566e-17,0.1471043981625747,0.12450403078786228
Tuna Otel,-2.2204460492503132e-17,-9.020562075079397e-18,0.14469300988613495,0.12521287925613298
Otel Arın,1.2335811384723961e-17,3.39234813079909e-17,0.23503304452149118,0.2141913034654495
Limon Apart,-5.551115123125783e-17,4.9960036108132046e-17,0.18604050863800234,0.141777615603783
Hotel Grand Azmakhan Spa & Wellness,1.1102230246251565e-16,6.106226635438361e-17,0.20429076376090613,0.1910004844776177
