hotel_name,topic_id,sentiment_score,avg_sentiment_label
APART 48,0,1.0,positive
APART 48,2,1.0,positive
Acar Pansiyon,1,1.0,positive
Acar Pansiyon,2,1.0,positive
Akasya Apart Otel (Akyaka),2,1.0,positive
Akyaka Apart Konaklama,0,1.0,positive
Akyaka Apart Konaklama,1,1.0,positive
Akyaka Apart Konaklama,2,1.0,positive
Akyaka Apart Pansiyon,0,1.0,positive
Akyaka Apart Pansiyon,1,1.0,positive
Akyaka Apart Pansiyon,2,1.0,positive
Akyaka Azmak Apart,0,1.0,positive
Akyaka Azmak Apart,1,1.0,positive
Akyaka Azmak Apart,2,1.0,positive
Akyaka Kaya Delsol Otel,0,1.0,positive
Akyaka Kaya Delsol Otel,1,1.0,positive
Akyaka Kaya Delsol Otel,2,1.0,positive
Akyaka Tatil Apart,0,1.0,positive
Akyaka Tatil Apart,1,1.0,positive
Akyaka Tatil Apart,2,1.0,positive
Akyaka Villa Marine Otel & Restoran,0,1.0,positive
Akyaka Villa Marine Otel & Restoran,1,1.0,positive
Akyaka Villa Marine Otel & Restoran,2,1.0,positive
Akyaka Yali Capkini,2,1.0,positive
Akyaka Yeşil Apart,0,1.0,positive
Akyaka Yeşil Apart,2,1.0,positive
Akyaka Zeytin Apart,0,1.0,positive
Akyaka Zeytin Apart,2,1.0,positive
Akyaka apart mera,0,1.0,positive
Akyaka apart mera,1,1.0,positive
Akyaka apart mera,2,1.0,positive
Akyaka Özgem Apart Otel,0,1.0,positive
Akyaka Özgem Apart Otel,1,1.0,positive
Akyaka Özgem Apart Otel,2,1.0,positive
Ala Butik Hotel,0,1.0,positive
Ala Butik Hotel,1,1.0,positive
Ala Butik Hotel,2,1.0,positive
Alp Suites Lavanta,0,1.0,positive
Alp Suites Lavanta,1,1.0,positive
Alp Suites Lavanta,2,1.0,positive
Alp Suites Mandalin,0,1.0,positive
Alp Suites Mandalin,1,1.0,positive
Alp Suites Mandalin,2,1.0,positive
Alp Suites Pinehill,0,1.0,positive
Alp Suites Pinehill,1,1.0,positive
Alp Suites Pinehill,2,1.0,positive
Alp Suites Safran,0,1.0,positive
Alp Suites Safran,1,1.0,positive
Alp Suites Safran,2,1.0,positive
Amber Suites Akyaka,0,1.0,positive
Amber Suites Akyaka,1,1.0,positive
Amber Suites Akyaka,2,1.0,positive
Anayurt Oteli Akyaka,0,1.0,positive
Anayurt Oteli Akyaka,1,1.0,positive
Anayurt Oteli Akyaka,2,1.0,positive
AnkAkyaka Apart Hotel,0,1.0,positive
AnkAkyaka Apart Hotel,1,1.0,positive
AnkAkyaka Apart Hotel,2,1.0,positive
Ayka Otel,0,1.0,positive
Ayka Otel,1,1.0,positive
Ayka Otel,2,1.0,positive
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,0,1.0,positive
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,1,1.0,positive
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,2,1.0,positive
BEACON HILL SUITES,0,1.0,positive
BEACON HILL SUITES,1,1.0,positive
BEACON HILL SUITES,2,1.0,positive
