hotel_name,author_name,language,review_text
AnkAkyaka Apart Hotel,Nurten Ö.,tr,ucuz dar odada kaldık biliyorduk ihtiyacımız gece geçirebileceğimiz odaydı sebeple eğer öyle bi otel arıyorsanız ucuz oda yeterli oda gerçekten küçük yatak mini buzdolabi dışında büyük valiz açmak isteseniz açamazsınız banyo tuvalet yeterli dediğim gecesine verdiğiniz oda size kalmak için temel şartları sağlıyor yatak yastıklar vs rahat tuvalet banyo temizdi gece kaldık ikinci gece kalmak istesek oda gözümüze batabilirdi gece tolere edildi odada internet çekmiyor wifi şifresi talep edilebilir konum açısından her yere yürüme mesafesi
AnkAkyaka Apart Hotel,Semih Ceyhan,tr,konumu güzel odaları geniş eski tuvaletler kokuyordu personelin tavrı değişik telefonda konuşup anlaştığımız fiyatın üstünde fiyat söylediler yalancı muamelesi yapıp atar arkadaş yalan söylüyorum zaman atarlandı fiyatı düşükten aldı sonuçta üslup rahatsız ediciydi üzücü moral bozucu deneyimdi sebeple düşük verdim fazla hak eder akyakada apart başkasını tercih edebilirsiniz
AnkAkyaka Apart Hotel,Şemsi Aksel,tr,bütçeye uygun liralık odada kalmakla aynı kaldık ferah çift balkon tertemizdi valizde açamadık diyenler tutacak yada apartın odaları dar ambiyans yaratmayacak yaş oğlumla rahat ettik güven içinde gelebilirsiniz teşekkürler ankakyaka apart hotel
AnkAkyaka Apart Hotel,ilayda ülker,tr,eylül aile konaklama yaptık memnun kaldık apart tertemizdi çalışanlar ilgiliydi apartın malzemeleri temizdi düşünülmüştü memnun kaldık teşekkür ederiz fethiye’den selamlar
AnkAkyaka Apart Hotel,Viktor Thiessen,tr,ankakyaka otel’de konaklamam harikaydı fiyatı uygun olmasına sunduğu temizlik kalite gerçekten yıldızı hak odalar modern özenle temizlenmişti personelin güler yüzlülüğü ilgisi tatil deneyimimi güzelleştirdi akyaka’nın doğal güzelliğiyle birleşen huzurlu atmosferi geçirilen zamanı unutulmaz kılıyor uygun fiyatlı temiz konforlu konaklama arayan herkese gönül rahatlığıyla tavsiye ederim
AnkAkyaka Apart Hotel,Faysal Motovlogs,en,good experience room centre minutes walking everything like restaurant shops banks departmental stores view outside building amazing due amazing nature want see room tour hotel released soon please check youtube subscribe motovlogger travel inside turkey different locations moodylens best regards
AnkAkyaka Apart Hotel,Fritschi Freeride,en,staying ankakyaka nice clean place sleep series option choose double bedded rooms kitchen balcony big rooms small rooms double bed minimalistic style stuff got along nicely even though speaking language nice warm morning smile pass someone getting chance use kitchen therefore make use local fishmarket nice respectful friendly owner son kind helpful im simple person doesnt need much even ankakyaka get great value money invest id like stay day minimalistic rooms also perfect needs im already looking forward another visit ankakyaka greetings best form ceto room could use better scent really minor problem major
AnkAkyaka Apart Hotel,Zarrina Çebi,en,nice place stay love balcony apartments everything need close river beach shopping stores nearby
AnkAkyaka Apart Hotel,Anton van A,en,small room really small lol friendly staff convinient stay recommended
AnkAkyaka Apart Hotel,Akin Turan,en,wow decent showers höt hot water needed hard find others decent
Panamara Otel,recep balaban,tr,otel buraya yorum yapanlar galiba otelde kalmamış odalar leş sigara kokuyor yastıklara sigara kokusu sinmiş banyo tuvaletler lı yıllardan kalmış gibiydi kabus gece geçirdim yorumları çalışanlar sanırım klimaların filtreleri tozdan görünmüyordu sezon başında temizletin paramıza yazık
Panamara Otel,Ömer HALDIZ,tr,otel uygun fiyatlı temiz konumu güzel arka cephe odada kaldım balkonumdan zeytin ağacına uzanabiliyorum doğayla iç içe personel güler yüzlü saygılı karşılaşmamızda ihtiyacınız soruyorlar fazlasıyla fiyatperformans oteli katı fiyatlı oteller karşılaştırmayın oralardaki fazlalık imkanları beklemeyin gece kaldım sorun yaşamadım
Panamara Otel,Dogan Okcan,tr,resepsiyonistin müşteri ilişkisi sıfır herif dünyayı yaratmış gece uğradık kalırsanız kalın kalmazsanız kalmayın tavırları esnaf olmayı öğren odalar desen it bağlasan durmaz kahvaltı resepsiyonda uyduruk masa uyduruk odalar puanlamayı mecburen birer yıldız verdim sıfır yıldız şansım yoktu tavsiyem kesinlikle gidilecek kalınacak bir yer değil
Panamara Otel,furkan haksever,tr,eşim gece kaldık odalar küçük gece idare etmek uygun sabah kahvaltısı arası imiş konakladığımiz gün resepsiyondaki kişi bilgi verilse güzel olurdu kahvaltıyı kaçırdık geçe indik en azından girişte felan yazılması gerekir odada klima sebeple rahat ettik duş imkanı azından duşakabin yapılsa güzel olurdu fiyat performans denilebilir
Panamara Otel,Nurcan Demir,tr,güler yüzlü hizmet temiz odalar için teşekkür ederim üstelik doğayla içiçe civar yerlerde tarih yatıyor dinlenme gezme için güzel tesis
Panamara Otel,FRS3,en,traditional turkish house conversion hotel old furniture manner friendly staff suitable seasonal workers hitchhikers
Panamara Otel,Eszter Borbely,en,staff wonderful everything power make stay comfortable beds comfortable perfect place stop along journey teşekkürler
Panamara Otel,Hosam Ezzidin,en,well received friendly welcoming visitors
Panamara Otel,Muhammed Heiba,en,enjoyed stay thanks
Panamara Otel,recep balaban,en,first think comment never stayed hotel rooms smell like cigarette smoke smell cigarette smoke permeated pillows bathroom toilets looked like nightmarish night think comments made employees filters air conditioners visible due dust least cleaned beginning season shame money
Panamare Apart & Hotel Akyaka,B.K,tr,oda dizaynı konumu dışında birşeyi birde tesadüfen gördüğümüz otoparkı olması artıydı girişte bilgi verilmedi öncelikle giriş için resepsiyonu görmeden otelin içinde tur attım hizmetlo tarif goriste yanda kapalı kulübe insanlarla iletişimi cm lik delikten bankalardan küçük yerden yapıyorlar rezervasyon fiyatını kartla ödememi istediğimi söylediğimde ücreti küsür fazla söyledi sistemde öyle değil dedim öyle görünüyor dedi google dada sistemdeki çıkmasına rağmen kafa kurunda kart işlem ücreti ekledi söyleyemedi tekrar itiraz etmeme rağmen değişmedi müşteri memnuniyeti değerlerini anladıktan gerisine bakmadım araç plakamı aldılar park alanı demediler tesadüfen gorunca kiliti açmalarını rica ettim küçük havuzu kapanıyormuş u gece giriş yaptık kullanamadık hava kararan yerlerde havuzu kapatmak nedir bilemedim sistemde kahvaltı ekstra ücretli deniliyor onunla bilgi vermediler çıkışı e koymuşlar özellikle mesajla wifi şifresi check out saatini belirtiyorlar üst katta kalmamıza rağmen valizlere yardım felan olmadı dahada kalmam
Panamare Apart & Hotel Akyaka,Erhan ÖGET,tr,gece konakladığım apart tarzı yer düşüncelerimi paylaşmam gerektiğini hissettim akyakadaki apartların tip mimari hizmete bakmamız lazım otele gelmeden akşam aradığımda yer gelip odaları görerek rezervasyon yapabileceğimiz söylenmişken otele geldiğimizde oda söylendi sıcak havada dolaşmamak adına dedik ücreti kart istediğimizde günlük fark istediler ibana açıklamasız para transferi yaptırdılar odadaki eşyalarda ses gıcırtı mevcuttu lambanın yanmıyordu banyo eski duşakabin araları pis silikonlari kalkmış duruyor gün boyunca temizliğe gelen olmadı sonuçta temizlik yapmaları gereken asli işleri havuzda asla bakım küçücük temizlik olmayınca düşünün buradaki temiz yorumlarına kanmamak adına söylüyorum akyaka genelindeki apart işletmecilerinde genel somurtkanlık söz konusu doluyor havasındalar i̇yi yönleri tabiki otopark büyük sorun olmasına otelin yan tarafında kendine otoparkı wifi çekiyor azmak çayına yakın merkezi konumda güncelleme elif hanım görüştük konulara açıklık getirdi temizlik günde yapılıyor yazılmış cevap elif hanım günde yapıldığını söyledi gün kaldığımız denk gelmiş yorumların kendileri önemli değer verdiklerini değerlendirmede memnuniyet odaklı çalıştıklarını söyledi sorunda elif hanım iletişime geçilebilir
Panamare Apart & Hotel Akyaka,Gökhan Kadıoğlu,tr,temmuz arası konaklama şanssızlığında bulunduğum kyk yurtlarının yarı kalitesine erişemeyen işletme ticari işletme hakkında olumsuz yorum yaparak kazançlarına mani ekmeklerine engel vicdansızlık düşünür yıldız veren müşterileri şımarık halden anlamayan kişiler şeklinde yorumlardım dün fikrim işletmede konaklama talihsizliğinden maalesef değişti bilenler bilir akyaka mevkisindeki apartların mimarileri hemen hemen aynıdır yüzden işletmesinin b işletmesinden farkı hizmet kalitesi ölçülür gelelim panamera akyaka pansiyonununu kötü yapan nedir bakalım resepsiyon girişinin muşamba kapatılıp müşteri küçük delikten diyalog kurulması 90larda otobüs bileti alıyor izlenimi yaratması ödemenin nakit alınması kredi kartı alımda fark alınacağını söylenmesi odada duşakabinin kırık banyo apliğinin ucu elektrik bandı özensizce sarılmış kabloların odada havlularin unutulmuş havlu talep ettiğimizde görevlilerce odanın içine girilip gerçekten havlu verilip verilmediğinin kontrol yurt müdiresi havasında günlük konaklamada duş spiralinin patlaması yerden geçen kablo kanalları içine alınmamış elektrik anten kablolarının varlığı yıllık görülen banyo terlikleri oda içinde kullanım ömürlerini uzun zaman tamamlayan yatak baza başlığı kanepe mutfak dolapları tezgahı dışında işletme hakkında olumsuz yorum yapan kişilere işletme sahiplerinin kaba cevap verdiklerini müşterileri suçladıklarını görmekteyim yorumuma benzer şekilde cevap veren zahmet etmesin
Panamare Apart & Hotel Akyaka,Faruk Yapar,tr,kesinlikle akyakada tatilimi yaparım apart arama serüvenine girmişken tesadüfen panamare apartla karşılaştım fiyatı cazip geldi rezervasyon yaptırmadan direkt buraya geldim resepsiyon çalışan personel yardımcı boş odaları gezdirdi istinaden odamızı kiraladık özellikle çalışan personel zeliha hanıma yardımları iletişimi teşekkür etsem azdır kendimizi evimizde hissettirmemizi sağladı özellikle yetişkinler çocuklar güzel havuzu gelecek yıllarda akyakaya uğradığımda kesinlikle tercihim olacaktır
Panamare Apart & Hotel Akyaka,İlkay Gencer,tr,şirin nezih tertemiz aile işletmesi azmak nehrine marketlere merkeze yakın avantajki an elinizin altında odalar tertemiz mis şık dizayn edilmiş mutfakta işinize yarayacak eşya mevcut ihtiyacınız olduğunda eksik olduğunda hemen yardımcı olunuyor sahibi elif teyzeye oğluna teşekkür ederiz dahaki geldiğimizde tercih edrr miyiz kesinlikle evet
Panamare Apart & Hotel Akyaka,Katherine Aynur Kugay,en,positives exterior nice checkin efficient easy long day travel list concerns think management needs address broken shower handle sharp screw exposed one side close interior broken shower head drips water lopsided stream instead evenly distributed bedside lamps don’t work mattress insufficient  easily roll floppy edges floor bathroom visible dirt toilet seat also spots towels often stiff old hotels like also stains dining table covered dust thinking staying get pay even overpriced area paying customer don’t feel respected level amenities maintained brought children would horrified dangers presented presence exposed sharp objects shower area level hygiene update upon leaving review husband called management requesting change
Panamare Apart & Hotel Akyaka,Елизавета Комарова,en,wonderful hospitable people meet help everything free parking convenient location easily reach place center foot time make repairs apartment plumbing bad condition staggering mold places bathroom day expecting higher quality apartment
Panamare Apart & Hotel Akyaka,Darya Batalevich,en,room really comfortable stayed two kids mom together people didnt feel squeezed plus service good
Panamare Apart & Hotel Akyaka,mine oeziri,en,perfect hotel clean modern apartments location excellent river main street
Panamare Apart & Hotel Akyaka,Roxana Madrali,en,clean large rooms staff helpful walk distance beach
Kerme Ottoman Gökova,Gülşah Bayar,tr,otelin konumu gerçekten güzel akyakaya yakın plansız gittiğimiz içinde çocuklarla otel bulmak zorunda kaldığımız acele tercihti odalar güzel yerleşmiş ahşap düşünülmüş heves edilmiş belli otel olurda pis olabilir anlamak zor fiyatda çok uygun resmen toz yer yeni çarşaf istedik sağolsun görevli yardımcı hemen herşeyin üzerine temiz çarşaf serdik mutfak evet pislikten imkansız kullanamadık i̇mkanları su bulundurulmaması gece yarısı su almaya markete gitmek zorunda bıraktı geceliğine ödedik yatmak bahçesi güzel havuz çocuklar yeterliydi heveslerini aldılar kısa süre girip çıktılar kapıda duran çocuk kibardı otel sahibi isteyen gelsin istemeyen gelmesin mantığında sanırım tercihimiz olmuycaktır
Kerme Ottoman Gökova,Sefa Şenlik,tr,kaldığım dingin sevimli butik otellerden biriydi akyakaya arabayla dakika civarında mesafede otel marmaris akyaka muğladaki alternatifleri tercih edilebilir odalar temiz yeni düzenliydi üst kat odalarının bahçe havuz köy manzarası insanın içini açan cinstendi kuzenimle gece konaklama fırsatı bulduğum oteli kısa zamanda ailemle günlüğüne ziyaret etmek sabırsızlanıyorum köy ortamını seven geceleri tatil yerinin keşmekeşinden kaçmak isteyen aileler yerinde tercih olacaktır
Kerme Ottoman Gökova,Sevde KANIK,tr,araba şart akyaka dakika uygun fiyatın bedelini temizlik problemleri ödüyorsunuz bahçe sakin huzurlu odalar gözüküyor hijyen gerçekten sıkıntılı havlular sert sarı pikeler çarşaflar yıpranmış
